model, dataset, max_depth, train_score0, train_score1, train_score2, test_score0, test_score1, test_score2, train_time0, train_time1, train_time2, hyperparameter0, hyperparameter1, hyperparameter2
SOCT-baseline, blood_transfusion, 2, 0.8012048192771084, 0.8016032064128257, 0.8036072144288577, 0.796, 0.7791164658634538, 0.7550200803212851, 601.3820397879999, 601.2903290109998, 601.2650583119994, 3, 3, 2
SOCT-baseline, blood_transfusion, 3, 0.7891566265060241, 0.7915831663326653, 0.8216432865731463, 0.764, 0.7670682730923695, 0.7630522088353414, 601.9828039910008, 602.1124701970002, 602.0558712949969, 3, 3, 3
SOCT-baseline, blood_transfusion, 4, 0.7971887550200804, 0.7975951903807615, 0.7955911823647295, 0.772, 0.7710843373493976, 0.7590361445783133, 602.9472921369997, 603.1579326330029, 603.0103189229994, 5, 10, 5
SOCT-baseline, ionosphere, 2, 1.0, 1.0, 1.0, 0.8888888888888888, 0.8803418803418803, 0.8803418803418803, 4.865243444000953, 1.1991988759982632, 0.9756640670020715, 2, 2, 2
SOCT-baseline, ionosphere, 3, 1.0, 1.0, 1.0, 0.8547008547008547, 0.8717948717948718, 0.8803418803418803, 1.7347330289994716, 2.098696981003741, 1.4578192929984652, 3, 3, 3
SOCT-baseline, ionosphere, 4, 1.0, 1.0, 1.0, 0.8547008547008547, 0.8632478632478633, 0.8803418803418803, 2.7922259779952583, 2.9842769719980424, 2.4880756530037615, 5, 5, 5
SOCT-baseline, parkinsons, 2, 1.0, 1.0, 1.0, 0.8923076923076924, 0.8461538461538461, 0.8615384615384616, 6.755458847001137, 4.8993902479996905, 1.9288357850018656, 3, 2, 2
SOCT-baseline, parkinsons, 3, 1.0, 1.0, 1.0, 0.8615384615384616, 0.8461538461538461, 0.8923076923076924, 5.364460839999083, 4.951682393999363, 6.225874165000278, 3, 3, 3
SOCT-baseline, parkinsons, 4, 1.0, 1.0, 1.0, 0.9076923076923077, 0.8307692307692308, 0.8153846153846154, 1.368354571000964, 2.0508275530009996, 1.2405713949992787, 5, 5, 5
SOCT-benders-last-1, balance_scale, 2, 1.0, 1.0, 1.0, 0.9712918660287081, 0.9855769230769231, 0.9423076923076923, 1.0672113570035435, 1.0558985759998905, 1.0218944029984414, 2, 2, 2
SOCT-benders-last-1, balance_scale, 3, 1.0, 1.0, 1.0, 0.9712918660287081, 0.9855769230769231, 0.9423076923076923, 1.4879374639931484, 1.533973594996496, 1.5528159359964775, 3, 3, 3
SOCT-benders-last-1, balance_scale, 4, 1.0, 1.0, 1.0, 0.9712918660287081, 0.9855769230769231, 0.9423076923076923, 2.385521502001211, 2.3747628550045192, 2.409735041001113, 5, 5, 5
SOCT-benders-last-1, congressional_voting_records, 2, 1.0, 1.0, 1.0, 0.9448275862068966, 0.9517241379310345, 0.9241379310344827, 0.5877325830006157, 0.5195988129999023, 0.40210012000170536, 2, 2, 2
SOCT-benders-last-1, congressional_voting_records, 3, 1.0, 1.0, 1.0, 0.9448275862068966, 0.9517241379310345, 0.9241379310344827, 0.8293610489999992, 0.768511608002882, 0.7406411249976372, 3, 3, 3
SOCT-benders-last-1, congressional_voting_records, 4, 1.0, 1.0, 1.0, 0.9448275862068966, 0.9517241379310345, 0.9241379310344827, 1.3466445009980816, 1.3971079260008992, 1.4332820099953096, 5, 5, 5
SOCT-benders-last-1, soybean_small, 2, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25159849100600695, 0.2570905850006966, 0.27441228899988346, 3, 3, 3
SOCT-benders-last-1, soybean_small, 3, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3646553579965257, 0.35252276699611684, 0.36925432899442967, 3, 3, 3
SOCT-benders-last-1, soybean_small, 4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.447204647003673, 0.4351576459957869, 0.45473364199278876, 5, 5, 5
SOCT-benders-last-1, iris, 2, 1.0, 1.0, 0.99, 0.98, 0.96, 0.94, 0.3042055289988639, 0.4373334030024125, 0.7613879440032179, 2, 2, 2
SOCT-benders-last-1, iris, 3, 1.0, 1.0, 1.0, 0.98, 0.96, 0.94, 0.43390802800422534, 0.6816508970005088, 1.558559746001265, 3, 3, 5
SOCT-benders-last-1, iris, 4, 1.0, 1.0, 1.0, 0.98, 0.96, 0.94, 0.5734566179962712, 0.8024982179995277, 1.735629965995031, 5, 5, 15
SOCT-benders-last-1, wine, 2, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9491525423728814, 1.0, 0.28608135400281753, 0.2892891159935971, 0.28560126299998956, 2, 2, 2
SOCT-benders-last-1, wine, 3, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9491525423728814, 1.0, 0.39697908100060886, 0.3783065650059143, 0.3877217959961854, 3, 3, 3
SOCT-benders-last-1, wine, 4, 1.0, 1.0, 1.0, 0.9833333333333333, 0.9491525423728814, 1.0, 0.6104842279964942, 0.5807591439952375, 0.5701424529979704, 5, 5, 5
SOCT-benders-last-1, breast_cancer, 2, 1.0, 1.0, 1.0, 0.9473684210526315, 0.9368421052631579, 0.9788359788359788, 1.1206790839933092, 0.4903732749953633, 0.7412650369951734, 2, 2, 2
SOCT-benders-last-1, breast_cancer, 3, 1.0, 1.0, 1.0, 0.9368421052631579, 0.9368421052631579, 0.9788359788359788, 1.1947492729959777, 0.8551994180015754, 1.1149988530014525, 3, 3, 3
SOCT-benders-last-1, breast_cancer, 4, 1.0, 1.0, 1.0, 0.9368421052631579, 0.9368421052631579, 0.9788359788359788, 2.0208281079976587, 1.9347366340007284, 2.0031663569970988, 5, 5, 5
SOCT-benders-last-1, banknote_authentication, 2, 1.0, 1.0, 1.0, 1.0, 0.9846827133479212, 1.0, 0.8430470180028351, 2.9086617109933286, 0.9928438779970747, 2, 3, 3
SOCT-benders-last-1, banknote_authentication, 3, 1.0, 1.0, 1.0, 1.0, 0.9846827133479212, 1.0, 1.476740947997314, 2.852644415004761, 1.500249521996011, 3, 7, 7
SOCT-benders-last-1, banknote_authentication, 4, 1.0, 1.0, 1.0, 1.0, 0.9890590809628009, 1.0, 3.0256473580011516, 49.95305556999665, 3.2313000340000144, 5, 15, 5
SOCT-benders-last-1, blood_transfusion, 2, 0.7911646586345381, 0.7855711422845691, 0.781563126252505, 0.772, 0.7670682730923695, 0.7630522088353414, 601.4491133050033, 601.3205796160037, 601.3627438190015, 2, 3, 2
SOCT-benders-last-1, blood_transfusion, 3, 0.7650602409638554, 0.781563126252505, 0.7915831663326653, 0.76, 0.7670682730923695, 0.7469879518072289, 605.0255719580018, 608.2381322610017, 604.8402939369989, 3, 5, 3
SOCT-benders-last-1, blood_transfusion, 4, 0.7811244979919679, 0.7835671342685371, 0.7875751503006012, 0.764, 0.7630522088353414, 0.7550200803212851, 603.2122708219977, 609.9721918710056, 608.8366805819969, 5, 15, 5
SOCT-benders-last-1, ionosphere, 2, 1.0, 1.0, 1.0, 0.8974358974358975, 0.8547008547008547, 0.8803418803418803, 2.324789767008042, 0.9274288390006404, 0.7851474869967205, 2, 2, 2
SOCT-benders-last-1, ionosphere, 3, 1.0, 1.0, 1.0, 0.8547008547008547, 0.8547008547008547, 0.8803418803418803, 1.3039611919957679, 1.4864725389925297, 1.0756987089989707, 3, 3, 3
SOCT-benders-last-1, ionosphere, 4, 1.0, 1.0, 1.0, 0.8547008547008547, 0.8632478632478633, 0.8803418803418803, 1.8530634769995231, 2.0802469689951977, 1.5563943599991035, 5, 5, 5
SOCT-benders-last-1, parkinsons, 2, 1.0, 1.0, 1.0, 0.8, 0.7692307692307693, 0.8153846153846154, 0.5491594639897812, 0.49045381500036456, 0.9911194309970597, 3, 3, 2
SOCT-benders-last-1, parkinsons, 3, 1.0, 1.0, 1.0, 0.8307692307692308, 0.8153846153846154, 0.7692307692307693, 10.517462175004766, 0.7487474249937804, 0.7129755170026328, 3, 3, 3
SOCT-benders-last-1, parkinsons, 4, 1.0, 1.0, 1.0, 0.9076923076923077, 0.8307692307692308, 0.8153846153846154, 1.0619664170080796, 1.5373847849987214, 0.9515879409882473, 5, 5, 5
