model, dataset, max_depth, train_time, ub, lb, mip_gap, time_improvement, gap_improvement
SOCT-init-5, banknote_authentication, 2, 601.6024176660012, 1371.9999999999534, 1362.0, 0.007342143905986335, -445.9599798160016, -0.007342143905986335
SOCT-baseline, banknote_authentication, 3, 57.58443380300014, 1372.0, 1372.0, 0.0, 0, 0
SOCT-benders-last-1, banknote_authentication, 3, 14.372952529000031, 1372.0, 1372.0, 0.0, 43.21148127400011, 0.0
SOCT-benders-last-10, banknote_authentication, 3, 218.96713520499907, 1372.0, 1372.0, 0.0, -161.38270140199893, 0.0
SOCT-init-1, banknote_authentication, 3, 602.3907076929991, 1371.9999999999973, 1362.0000009925234, 0.007342143171943202, -544.8062738899989, -0.007342143171943202
SOCT-init-5, banknote_authentication, 3, 603.0081318479988, 1371.9999999999923, 1362.0, 0.007342143906014882, -545.4236980449987, -0.007342143906014882
SOCT-baseline, banknote_authentication, 4, 603.5002290079992, 1371.999999999998, 856.0, 0.6028037383177546, 0, 0
SOCT-benders-last-1, banknote_authentication, 4, 480.21471216200007, 1372.0, 1372.0, 0.0, 123.28551684599915, 0.6028037383177546
SOCT-benders-last-10, banknote_authentication, 4, 174.44984846499938, 1372.0, 1372.0, 0.0, 429.05038054299985, 0.6028037383177546
SOCT-init-1, banknote_authentication, 4, 604.9684300999998, 1371.9999999999973, 838.0, 0.6372315035799491, -1.4682010920005268, -0.03442776526219449
SOCT-init-5, banknote_authentication, 4, 605.8492523420009, 1371.9999999999968, 789.0, 0.7389100126742671, -2.3490233340016857, -0.13610627435651257
SOCT-baseline, blood_transfusion, 2, 600.4948586160008, 747.9304542782687, 597.0, 0.25281483128688226, 0, 0
SOCT-benders-last-1, blood_transfusion, 2, 600.7885492410005, 747.9999999999985, 570.0, 0.3122807017543834, -0.2936906249997264, -0.059465870467501125
SOCT-benders-last-10, blood_transfusion, 2, 604.3530432829994, 746.5, 572.0, 0.30506993006993005, -3.858184666998568, -0.05225509878304779
SOCT-init-1, blood_transfusion, 2, 600.7857778809994, 747.9622307633999, 583.0, 0.28295408364219543, -0.29091926499859255, -0.030139252355313173
SOCT-init-5, blood_transfusion, 2, 601.0905276669982, 747.9586013696731, 603.0, 0.2403956904969704, -0.5956690509974578, 0.012419140789911853
SOCT-baseline, blood_transfusion, 3, 601.0432200510004, 747.9709312602893, 605.0, 0.23631558885998225, 0, 0
SOCT-benders-last-1, blood_transfusion, 3, 604.9814900950005, 747.9999999999992, 576.0, 0.2986111111111097, -3.9382700440000917, -0.06229552225112747
SOCT-benders-last-10, blood_transfusion, 3, 605.4147521449995, 747.9999999999859, 570.0, 0.31228070175436123, -4.371532093999122, -0.07596511289437899
SOCT-init-1, blood_transfusion, 3, 601.5195315929996, 747.9669519179776, 584.0, 0.2807653286266739, -0.47631154199916637, -0.04444973976669167
SOCT-init-5, blood_transfusion, 3, 602.3642082459992, 747.9999999999989, 593.0, 0.2613827993254618, -1.3209881949987903, -0.025067210465479578
SOCT-baseline, blood_transfusion, 4, 601.9286733970002, 747.9999999999974, 586.0, 0.27645051194538806, 0, 0
SOCT-benders-last-1, blood_transfusion, 4, 601.2907834270009, 747.9999999999982, 570.0, 0.3122807017543828, 0.6378899699993781, -0.03583018980899472
SOCT-benders-last-10, blood_transfusion, 4, 667.2209581870011, 747.9999999999993, 570.0, 0.31228070175438477, -65.29228479000085, -0.035830189808996715
SOCT-init-1, blood_transfusion, 4, 602.8065908200006, 747.9999999999983, 585.0, 0.2786324786324757, -0.8779174230003264, -0.002181966687087644
